[Test 1] 1.0 KB; 20.7812 ms
[Test 2] 52.0 Mbps; 173.8462 ms
[Test 2] 53.0 Mbps; 170.9434 ms
[Test 2] 54.0 Mbps; 168.1481 ms
[Test 2] 55.0 Mbps; 165.4545 ms
[Test 2] 56.0 Mbps; 162.8571 ms
[Test 2] 57.0 Mbps; 160.3509 ms
[Test 2] 58.0 Mbps; 157.9310 ms
[Test 2] 59.0 Mbps; 155.5932 ms
[Test 2] 60.0 Mbps; 153.3333 ms
[Test 2] 61.0 Mbps; 151.1475 ms
[Test 2] 62.0 Mbps; 149.0323 ms
[Test 2] 63.0 Mbps; 146.9841 ms
[Test 2] 64.0 Mbps; 145.0000 ms
[Test 2] 65.0 Mbps; 143.0769 ms
[Test 2] 66.0 Mbps; 141.2121 ms
[Test 2] 67.0 Mbps; 139.4030 ms
[Test 2] 68.0 Mbps; 137.6471 ms
[Test 2] 69.0 Mbps; 135.9420 ms
[Test 2] 70.0 Mbps; 134.2857 ms
[Test 2] 71.0 Mbps; 132.6761 ms
[Test 2] 72.0 Mbps; 131.1111 ms
[Test 2] 73.0 Mbps; 129.5890 ms
[Test 2] 74.0 Mbps; 128.1081 ms
[Test 2] 75.0 Mbps; 126.6667 ms
[Test 2] 76.0 Mbps; 125.2632 ms
[Test 2] 77.0 Mbps; 123.8961 ms
[Test 2] 78.0 Mbps; 122.5641 ms
[Test 2] 79.0 Mbps; 121.2658 ms
[Test 2] 80.0 Mbps; 120.0000 ms
[Test 2] 81.0 Mbps; 118.7654 ms
[Test 2] 82.0 Mbps; 117.5610 ms
[Test 2] 83.0 Mbps; 116.3855 ms
[Test 2] 84.0 Mbps; 115.2381 ms
[Test 2] 85.0 Mbps; 114.1176 ms
[Test 2] 86.0 Mbps; 113.0233 ms
[Test 2] 87.0 Mbps; 111.9540 ms
[Test 2] 88.0 Mbps; 110.9091 ms
[Test 2] 89.0 Mbps; 109.8876 ms
[Test 2] 90.0 Mbps; 108.8889 ms
[Test 2] 91.0 Mbps; 107.9121 ms
[Test 2] 92.0 Mbps; 106.9565 ms
[Test 2] 93.0 Mbps; 106.0215 ms
[Test 2] 94.0 Mbps; 105.1064 ms
[Test 2] 95.0 Mbps; 104.2105 ms
[Test 2] 96.0 Mbps; 103.3333 ms
[Test 2] 97.0 Mbps; 102.4742 ms
[Test 2] 98.0 Mbps; 101.6327 ms
[Test 2] 99.0 Mbps; 100.8081 ms
[Test 2] 100.0 Mbps; 100.0000 ms
[Test 2] 101.0 Mbps; 99.2079 ms
[Test 2] 102.0 Mbps; 98.4314 ms
[Test 2] 103.0 Mbps; 97.6699 ms
[Test 2] 104.0 Mbps; 96.9231 ms
[Test 2] 105.0 Mbps; 96.1905 ms
[Test 2] 106.0 Mbps; 95.4717 ms
[Test 2] 107.0 Mbps; 94.7664 ms
[Test 2] 108.0 Mbps; 94.0741 ms
[Test 2] 109.0 Mbps; 93.3945 ms
[Test 2] 110.0 Mbps; 92.7273 ms
[Test 2] 111.0 Mbps; 92.0721 ms
[Test 2] 112.0 Mbps; 91.4286 ms
[Test 2] 113.0 Mbps; 90.7965 ms
[Test 2] 114.0 Mbps; 90.1754 ms
[Test 2] 115.0 Mbps; 89.5652 ms
[Test 2] 116.0 Mbps; 88.9655 ms
[Test 2] 117.0 Mbps; 88.3761 ms
[Test 2] 118.0 Mbps; 87.7966 ms
[Test 2] 119.0 Mbps; 87.2269 ms
[Test 2] 120.0 Mbps; 86.6667 ms
[Test 2] 121.0 Mbps; 86.1157 ms
[Test 2] 122.0 Mbps; 85.5738 ms
[Test 2] 123.0 Mbps; 85.0407 ms
[Test 2] 124.0 Mbps; 84.5161 ms
[Test 2] 125.0 Mbps; 84.0000 ms
[Test 2] 126.0 Mbps; 83.4921 ms
[Test 2] 127.0 Mbps; 82.9921 ms
[Test 2] 128.0 Mbps; 82.5000 ms
[Test 2] 129.0 Mbps; 82.0155 ms
[Test 2] 130.0 Mbps; 81.5385 ms
[Test 2] 131.0 Mbps; 81.0687 ms
[Test 2] 132.0 Mbps; 80.6061 ms
[Test 2] 133.0 Mbps; 80.1504 ms
[Test 2] 134.0 Mbps; 79.7015 ms
[Test 2] 135.0 Mbps; 79.2593 ms
[Test 2] 136.0 Mbps; 78.8235 ms
[Test 2] 137.0 Mbps; 78.3942 ms
[Test 2] 138.0 Mbps; 77.9710 ms
[Test 2] 139.0 Mbps; 77.5540 ms
[Test 2] 140.0 Mbps; 77.1429 ms
[Test 2] 141.0 Mbps; 76.7376 ms
[Test 2] 142.0 Mbps; 76.3380 ms
[Test 2] 143.0 Mbps; 75.9441 ms
[Test 2] 144.0 Mbps; 75.5556 ms
[Test 2] 145.0 Mbps; 75.1724 ms
[Test 2] 146.0 Mbps; 74.7945 ms
[Test 2] 147.0 Mbps; 74.4218 ms
[Test 2] 148.0 Mbps; 74.0541 ms
[Test 2] 149.0 Mbps; 73.6913 ms
[Test 2] 150.0 Mbps; 73.3333 ms
[Test 2] 151.0 Mbps; 72.9801 ms
[Test 2] 152.0 Mbps; 72.6316 ms
[Test 2] 153.0 Mbps; 72.2876 ms
[Test 2] 154.0 Mbps; 71.9481 ms
[Test 2] 155.0 Mbps; 71.6129 ms
[Test 2] 156.0 Mbps; 71.2821 ms
[Test 2] 157.0 Mbps; 70.9554 ms
[Test 2] 158.0 Mbps; 70.6329 ms
[Test 2] 159.0 Mbps; 70.3145 ms
[Test 2] 160.0 Mbps; 70.0000 ms
[Test 2] 161.0 Mbps; 69.6894 ms
[Test 2] 162.0 Mbps; 69.3827 ms
[Test 2] 163.0 Mbps; 69.0798 ms
[Test 2] 164.0 Mbps; 68.7805 ms
[Test 2] 165.0 Mbps; 68.4848 ms
[Test 2] 166.0 Mbps; 68.1928 ms
[Test 2] 167.0 Mbps; 67.9042 ms
[Test 2] 168.0 Mbps; 67.6190 ms
[Test 2] 169.0 Mbps; 67.3373 ms
[Test 2] 170.0 Mbps; 67.0588 ms
[Test 2] 171.0 Mbps; 66.7836 ms
[Test 2] 172.0 Mbps; 66.5116 ms
[Test 2] 173.0 Mbps; 66.2428 ms
[Test 2] 174.0 Mbps; 65.9770 ms
[Test 2] 175.0 Mbps; 65.7143 ms
[Test 2] 176.0 Mbps; 65.4545 ms
[Test 2] 177.0 Mbps; 65.1977 ms
[Test 2] 178.0 Mbps; 64.9438 ms
[Test 2] 179.0 Mbps; 64.6927 ms
[Test 2] 180.0 Mbps; 64.4444 ms
[Test 2] 181.0 Mbps; 64.1989 ms
[Test 2] 182.0 Mbps; 63.9560 ms
[Test 2] 183.0 Mbps; 63.7158 ms
[Test 2] 184.0 Mbps; 63.4783 ms
[Test 2] 185.0 Mbps; 63.2432 ms
[Test 2] 186.0 Mbps; 63.0108 ms
[Test 2] 187.0 Mbps; 62.7807 ms
[Test 2] 188.0 Mbps; 62.5532 ms
[Test 2] 189.0 Mbps; 62.3280 ms
[Test 2] 190.0 Mbps; 62.1053 ms
[Test 2] 191.0 Mbps; 61.8848 ms
[Test 2] 192.0 Mbps; 61.6667 ms
[Test 2] 193.0 Mbps; 61.4508 ms
[Test 2] 194.0 Mbps; 61.2371 ms
[Test 2] 195.0 Mbps; 61.0256 ms
[Test 2] 196.0 Mbps; 60.8163 ms
[Test 2] 197.0 Mbps; 60.6091 ms
[Test 2] 198.0 Mbps; 60.4040 ms
[Test 2] 199.0 Mbps; 60.2010 ms
[Test 2] 200.0 Mbps; 60.0000 ms
[Test 2] 201.0 Mbps; 59.8010 ms
[Test 2] 202.0 Mbps; 59.6040 ms
[Test 2] 203.0 Mbps; 59.4089 ms
[Test 2] 204.0 Mbps; 59.2157 ms
[Test 2] 205.0 Mbps; 59.0244 ms
[Test 2] 206.0 Mbps; 58.8350 ms
[Test 2] 207.0 Mbps; 58.6473 ms
[Test 2] 208.0 Mbps; 58.4615 ms
[Test 2] 209.0 Mbps; 58.2775 ms
[Test 2] 210.0 Mbps; 58.0952 ms
[Test 2] 211.0 Mbps; 57.9147 ms
[Test 2] 212.0 Mbps; 57.7358 ms
[Test 2] 213.0 Mbps; 57.5587 ms
[Test 2] 214.0 Mbps; 57.3832 ms
[Test 2] 215.0 Mbps; 57.2093 ms
[Test 2] 216.0 Mbps; 57.0370 ms
[Test 2] 217.0 Mbps; 56.8664 ms
[Test 2] 218.0 Mbps; 56.6972 ms
[Test 2] 219.0 Mbps; 56.5297 ms
[Test 2] 220.0 Mbps; 56.3636 ms
[Test 2] 221.0 Mbps; 56.1991 ms
[Test 2] 222.0 Mbps; 56.0360 ms
[Test 2] 223.0 Mbps; 55.8744 ms
[Test 2] 224.0 Mbps; 55.7143 ms
[Test 2] 225.0 Mbps; 55.5556 ms
[Test 2] 226.0 Mbps; 55.3982 ms
[Test 2] 227.0 Mbps; 55.2423 ms
[Test 2] 228.0 Mbps; 55.0877 ms
[Test 2] 229.0 Mbps; 54.9345 ms
[Test 2] 230.0 Mbps; 54.7826 ms
[Test 2] 231.0 Mbps; 54.6320 ms
[Test 2] 232.0 Mbps; 54.4828 ms
[Test 2] 233.0 Mbps; 54.3348 ms
[Test 2] 234.0 Mbps; 54.1880 ms
[Test 2] 235.0 Mbps; 54.0426 ms
[Test 2] 236.0 Mbps; 53.8983 ms
[Test 2] 237.0 Mbps; 53.7553 ms
[Test 2] 238.0 Mbps; 53.6134 ms
[Test 2] 239.0 Mbps; 53.4728 ms
[Test 2] 240.0 Mbps; 53.3333 ms
[Test 2] 241.0 Mbps; 53.1950 ms
[Test 2] 242.0 Mbps; 53.0579 ms
[Test 2] 243.0 Mbps; 52.9218 ms
[Test 2] 244.0 Mbps; 52.7869 ms
[Test 2] 245.0 Mbps; 52.6531 ms
[Test 2] 246.0 Mbps; 52.5203 ms
[Test 2] 247.0 Mbps; 52.3887 ms
[Test 2] 248.0 Mbps; 52.2581 ms
[Test 2] 249.0 Mbps; 52.1285 ms
[Test 2] 250.0 Mbps; 52.0000 ms
[Test 2] 251.0 Mbps; 51.8725 ms
[Test 2] 252.0 Mbps; 51.7460 ms
[Test 2] 253.0 Mbps; 51.6206 ms
[Test 2] 254.0 Mbps; 51.4961 ms
[Test 2] 255.0 Mbps; 51.3725 ms
[Test 2] 256.0 Mbps; 51.2500 ms
[Test 3] 1.0 ms delay; 802.0000 ms
[Test 3] 2.0 ms delay; 804.0000 ms
[Test 3] 3.0 ms delay; 806.0000 ms
[Test 3] 4.0 ms delay; 808.0000 ms
[Test 3] 5.0 ms delay; 810.0000 ms
[Test 3] 6.0 ms delay; 812.0000 ms
[Test 3] 7.0 ms delay; 814.0000 ms
[Test 3] 8.0 ms delay; 816.0000 ms
[Test 3] 9.0 ms delay; 818.0000 ms
[Test 3] 10.0 ms delay; 820.0000 ms
[Test 3] 11.0 ms delay; 822.0000 ms
[Test 3] 12.0 ms delay; 824.0000 ms
[Test 3] 13.0 ms delay; 826.0000 ms
[Test 3] 14.0 ms delay; 828.0000 ms
[Test 3] 15.0 ms delay; 830.0000 ms
[Test 3] 16.0 ms delay; 832.0000 ms
[Test 3] 17.0 ms delay; 834.0000 ms
[Test 3] 18.0 ms delay; 836.0000 ms
[Test 3] 19.0 ms delay; 838.0000 ms
[Test 3] 20.0 ms delay; 840.0000 ms
[Test 3] 21.0 ms delay; 842.0000 ms
[Test 3] 22.0 ms delay; 844.0000 ms
[Test 3] 23.0 ms delay; 846.0000 ms
[Test 3] 24.0 ms delay; 848.0000 ms
[Test 3] 25.0 ms delay; 850.0000 ms
[Test 3] 26.0 ms delay; 852.0000 ms
[Test 3] 27.0 ms delay; 854.0000 ms
[Test 3] 28.0 ms delay; 856.0000 ms
[Test 3] 29.0 ms delay; 858.0000 ms
[Test 3] 30.0 ms delay; 860.0000 ms
[Test 3] 31.0 ms delay; 862.0000 ms
[Test 3] 32.0 ms delay; 864.0000 ms
[Test 3] 33.0 ms delay; 866.0000 ms
[Test 3] 34.0 ms delay; 868.0000 ms
[Test 3] 35.0 ms delay; 870.0000 ms
[Test 3] 36.0 ms delay; 872.0000 ms
[Test 3] 37.0 ms delay; 874.0000 ms
[Test 3] 38.0 ms delay; 876.0000 ms
[Test 3] 39.0 ms delay; 878.0000 ms
[Test 3] 40.0 ms delay; 880.0000 ms
[Test 3] 41.0 ms delay; 882.0000 ms
[Test 3] 42.0 ms delay; 884.0000 ms
[Test 3] 43.0 ms delay; 886.0000 ms
[Test 3] 44.0 ms delay; 888.0000 ms
[Test 3] 45.0 ms delay; 890.0000 ms
[Test 3] 46.0 ms delay; 892.0000 ms
[Test 3] 47.0 ms delay; 894.0000 ms
[Test 3] 48.0 ms delay; 896.0000 ms
[Test 3] 49.0 ms delay; 898.0000 ms
[Test 3] 50.0 ms delay; 900.0000 ms
[Test 3] 51.0 ms delay; 902.0000 ms
[Test 3] 52.0 ms delay; 904.0000 ms
